well,Number,BioRep,OD,Strain,Species,Protocol,Batch,Step
A1,1,A,0.33,C0011E4,Gardnerella vaginalis,1,1A1,Overnight 1
B1,1,A,0.334,C0011E4,Gardnerella vaginalis,1,1A1,Overnight 1
C1,1,A,0.332,C0011E4,Gardnerella vaginalis,1,1A1,Overnight 1
D1,1,A,0.333,C0011E4,Gardnerella vaginalis,1,1A1,Overnight 1
E1,1,B,0.204,C0011E4,Gardnerella vaginalis,1,1A1,Overnight 1
F1,1,B,0.203,C0011E4,Gardnerella vaginalis,1,1A1,Overnight 1
G1,1,B,0.203,C0011E4,Gardnerella vaginalis,1,1A1,Overnight 1
H1,1,B,0.2,C0011E4,Gardnerella vaginalis,1,1A1,Overnight 1
A2,2,A,0.231,UM224,Gardnerella swidsinskii,1,1A1,Overnight 1
B2,2,A,0.23,UM224,Gardnerella swidsinskii,1,1A1,Overnight 1
C2,2,A,0.228,UM224,Gardnerella swidsinskii,1,1A1,Overnight 1
D2,2,A,0.219,UM224,Gardnerella swidsinskii,1,1A1,Overnight 1
E2,2,B,0.233,UM224,Gardnerella swidsinskii,1,1A1,Overnight 1
F2,2,B,0.233,UM224,Gardnerella swidsinskii,1,1A1,Overnight 1
G2,2,B,0.233,UM224,Gardnerella swidsinskii,1,1A1,Overnight 1
H2,2,B,0.225,UM224,Gardnerella swidsinskii,1,1A1,Overnight 1
A3,3,A,0.411,14018,Gardnerella vaginalis,1,1A1,Overnight 1
B3,3,A,0.416,14018,Gardnerella vaginalis,1,1A1,Overnight 1
C3,3,A,0.411,14018,Gardnerella vaginalis,1,1A1,Overnight 1
D3,3,A,0.414,14018,Gardnerella vaginalis,1,1A1,Overnight 1
E3,3,B,0.377,14018,Gardnerella vaginalis,1,1A1,Overnight 1
F3,3,B,0.38,14018,Gardnerella vaginalis,1,1A1,Overnight 1
G3,3,B,0.382,14018,Gardnerella vaginalis,1,1A1,Overnight 1
H3,3,B,0.378,14018,Gardnerella vaginalis,1,1A1,Overnight 1
A4,4,A,0.327,C0102A2,Gardnerella swidsinskii,1,1A1,Overnight 1
B4,4,A,0.326,C0102A2,Gardnerella swidsinskii,1,1A1,Overnight 1
C4,4,A,0.324,C0102A2,Gardnerella swidsinskii,1,1A1,Overnight 1
D4,4,A,0.323,C0102A2,Gardnerella swidsinskii,1,1A1,Overnight 1
E4,4,B,0.213,C0102A2,Gardnerella swidsinskii,1,1A1,Overnight 1
F4,4,B,0.232,C0102A2,Gardnerella swidsinskii,1,1A1,Overnight 1
G4,4,B,0.214,C0102A2,Gardnerella swidsinskii,1,1A1,Overnight 1
H4,4,B,0.208,C0102A2,Gardnerella swidsinskii,1,1A1,Overnight 1
A5,5,A,0.148,C0100B2,Gardnerella sp. 10,1,1A1,Overnight 1
B5,5,A,0.148,C0100B2,Gardnerella sp. 10,1,1A1,Overnight 1
C5,5,A,0.146,C0100B2,Gardnerella sp. 10,1,1A1,Overnight 1
D5,5,A,0.147,C0100B2,Gardnerella sp. 10,1,1A1,Overnight 1
E5,5,B,0.119,C0100B2,Gardnerella sp. 10,1,1A1,Overnight 1
F5,5,B,0.122,C0100B2,Gardnerella sp. 10,1,1A1,Overnight 1
G5,5,B,0.122,C0100B2,Gardnerella sp. 10,1,1A1,Overnight 1
H5,5,B,0.122,C0100B2,Gardnerella sp. 10,1,1A1,Overnight 1
A6,6,A,0.264,315-A,Gardnerella vaginalis,1,1A1,Overnight 1
