well,OD,Measure,Number,BioRep,Strain,Species,Protocol,Batch
A2,0.117,Biofilm OD,1,A,C0011E4,Gardnerella vaginalis,1,1A1
B2,0.128,Biofilm OD,1,A,C0011E4,Gardnerella vaginalis,1,1A1
C2,0.134,Biofilm OD,1,A,C0011E4,Gardnerella vaginalis,1,1A1
D2,0.142,Biofilm OD,1,A,C0011E4,Gardnerella vaginalis,1,1A1
E2,0.203,Biofilm OD,1,B,C0011E4,Gardnerella vaginalis,1,1A1
F2,0.272,Biofilm OD,1,B,C0011E4,Gardnerella vaginalis,1,1A1
G2,0.159,Biofilm OD,1,B,C0011E4,Gardnerella vaginalis,1,1A1
H2,0.148,Biofilm OD,1,B,C0011E4,Gardnerella vaginalis,1,1A1
A3,0.168,Biofilm OD,2,A,UM224,Gardnerella swidsinskii,1,1A1
B3,0.222,Biofilm OD,2,A,UM224,Gardnerella swidsinskii,1,1A1
C3,0.2,Biofilm OD,2,A,UM224,Gardnerella swidsinskii,1,1A1
D3,0.165,Biofilm OD,2,A,UM224,Gardnerella swidsinskii,1,1A1
E3,0.155,Biofilm OD,2,B,UM224,Gardnerella swidsinskii,1,1A1
F3,0.158,Biofilm OD,2,B,UM224,Gardnerella swidsinskii,1,1A1
G3,0.19,Biofilm OD,2,B,UM224,Gardnerella swidsinskii,1,1A1
H3,0.273,Biofilm OD,2,B,UM224,Gardnerella swidsinskii,1,1A1
A4,0.092,Biofilm OD,3,A,14018,Gardnerella vaginalis,1,1A1
B4,0.144,Biofilm OD,3,A,14018,Gardnerella vaginalis,1,1A1
C4,0.167,Biofilm OD,3,A,14018,Gardnerella vaginalis,1,1A1
D4,0.148,Biofilm OD,3,A,14018,Gardnerella vaginalis,1,1A1
E4,0.165,Biofilm OD,3,B,14018,Gardnerella vaginalis,1,1A1
F4,0.183,Biofilm OD,3,B,14018,Gardnerella vaginalis,1,1A1
G4,0.186,Biofilm OD,3,B,14018,Gardnerella vaginalis,1,1A1
H4,0.183,Biofilm OD,3,B,14018,Gardnerella vaginalis,1,1A1
A5,0.209,Biofilm OD,4,A,C0102A2,Gardnerella swidsinskii,1,1A1
B5,0.342,Biofilm OD,4,A,C0102A2,Gardnerella swidsinskii,1,1A1
C5,0.322,Biofilm OD,4,A,C0102A2,Gardnerella swidsinskii,1,1A1
D5,0.365,Biofilm OD,4,A,C0102A2,Gardnerella swidsinskii,1,1A1
E5,0.111,Biofilm OD,4,B,C0102A2,Gardnerella swidsinskii,1,1A1
F5,0.133,Biofilm OD,4,B,C0102A2,Gardnerella swidsinskii,1,1A1
G5,0.175,Biofilm OD,4,B,C0102A2,Gardnerella swidsinskii,1,1A1
H5,0.185,Biofilm OD,4,B,C0102A2,Gardnerella swidsinskii,1,1A1
A6,0.096,Biofilm OD,5,A,C0100B2,Gardnerella sp. 10,1,1A1
B6,0.233,Biofilm OD,5,A,C0100B2,Gardnerella sp. 10,1,1A1
C6,0.24,Biofilm OD,5,A,C0100B2,Gardnerella sp. 10,1,1A1
D6,0.25,Biofilm OD,5,A,C0100B2,Gardnerella sp. 10,1,1A1
A7,0.086,Biofilm OD,6,A,315-A,Gardnerella vaginalis,1,1A1
B7,0.175,Biofilm OD,6,A,315-A,Gardnerella vaginalis,1,1A1
C7,0.189,Biofilm OD,6,A,315-A,Gardnerella vaginalis,1,1A1
D7,0.213,Biofilm OD,6,A,315-A,Gardnerella vaginalis,1,1A1
E7,0.257,Biofilm OD,6,B,315-A,Gardnerella vaginalis,1,1A1
F7,0.298,Biofilm OD,6,B,315-A,Gardnerella vaginalis,1,1A1
G7,0.331,Biofilm OD,6,B,315-A,Gardnerella vaginalis,1,1A1
H7,0.346,Biofilm OD,6,B,315-A,Gardnerella vaginalis,1,1A1
A8,0.114,Biofilm OD,7,A,JCP8017B,Gardnerella sp. 3,1,1A1
B8,0.195,Biofilm OD,7,A,JCP8017B,Gardnerella sp. 3,1,1A1
C8,0.21,Biofilm OD,7,A,JCP8017B,Gardnerella sp. 3,1,1A1
D8,0.233,Biofilm OD,7,A,JCP8017B,Gardnerella sp. 3,1,1A1
E8,0.242,Biofilm OD,7,B,JCP8017B,Gardnerella sp. 3,1,1A1
