well,OD,Measure,Number,BioRep,Strain,Species,Protocol,Batch
A2,0.239,Planktonic OD,1,A,C0011E4,Gardnerella vaginalis,1,1A1
B2,0.236,Planktonic OD,1,A,C0011E4,Gardnerella vaginalis,1,1A1
C2,0.215,Planktonic OD,1,A,C0011E4,Gardnerella vaginalis,1,1A1
D2,0.181,Planktonic OD,1,A,C0011E4,Gardnerella vaginalis,1,1A1
E2,0.132,Planktonic OD,1,B,C0011E4,Gardnerella vaginalis,1,1A1
F2,0.127,Planktonic OD,1,B,C0011E4,Gardnerella vaginalis,1,1A1
G2,0.133,Planktonic OD,1,B,C0011E4,Gardnerella vaginalis,1,1A1
H2,0.124,Planktonic OD,1,B,C0011E4,Gardnerella vaginalis,1,1A1
A3,0.081,Planktonic OD,2,A,UM224,Gardnerella swidsinskii,1,1A1
B3,0.113,Planktonic OD,2,A,UM224,Gardnerella swidsinskii,1,1A1
C3,0.077,Planktonic OD,2,A,UM224,Gardnerella swidsinskii,1,1A1
D3,0.099,Planktonic OD,2,A,UM224,Gardnerella swidsinskii,1,1A1
E3,0.085,Planktonic OD,2,B,UM224,Gardnerella swidsinskii,1,1A1
F3,0.059,Planktonic OD,2,B,UM224,Gardnerella swidsinskii,1,1A1
G3,0.059,Planktonic OD,2,B,UM224,Gardnerella swidsinskii,1,1A1
H3,0.091,Planktonic OD,2,B,UM224,Gardnerella swidsinskii,1,1A1
A4,0.186,Planktonic OD,3,A,14018,Gardnerella vaginalis,1,1A1
B4,0.198,Planktonic OD,3,A,14018,Gardnerella vaginalis,1,1A1
C4,0.157,Planktonic OD,3,A,14018,Gardnerella vaginalis,1,1A1
D4,0.186,Planktonic OD,3,A,14018,Gardnerella vaginalis,1,1A1
E4,0.145,Planktonic OD,3,B,14018,Gardnerella vaginalis,1,1A1
F4,0.135,Planktonic OD,3,B,14018,Gardnerella vaginalis,1,1A1
G4,0.187,Planktonic OD,3,B,14018,Gardnerella vaginalis,1,1A1
H4,0.146,Planktonic OD,3,B,14018,Gardnerella vaginalis,1,1A1
A5,0.146,Planktonic OD,4,A,C0102A2,Gardnerella swidsinskii,1,1A1
B5,0.137,Planktonic OD,4,A,C0102A2,Gardnerella swidsinskii,1,1A1
C5,0.141,Planktonic OD,4,A,C0102A2,Gardnerella swidsinskii,1,1A1
D5,0.121,Planktonic OD,4,A,C0102A2,Gardnerella swidsinskii,1,1A1
E5,0.076,Planktonic OD,4,B,C0102A2,Gardnerella swidsinskii,1,1A1
F5,0.054,Planktonic OD,4,B,C0102A2,Gardnerella swidsinskii,1,1A1
G5,0.077,Planktonic OD,4,B,C0102A2,Gardnerella swidsinskii,1,1A1
H5,0.071,Planktonic OD,4,B,C0102A2,Gardnerella swidsinskii,1,1A1
A6,0.07,Planktonic OD,5,A,C0100B2,Gardnerella sp. 10,1,1A1
B6,0.095,Planktonic OD,5,A,C0100B2,Gardnerella sp. 10,1,1A1
C6,0.071,Planktonic OD,5,A,C0100B2,Gardnerella sp. 10,1,1A1
D6,0.061,Planktonic OD,5,A,C0100B2,Gardnerella sp. 10,1,1A1
A7,0.191,Planktonic OD,6,A,315-A,Gardnerella vaginalis,1,1A1
B7,0.208,Planktonic OD,6,A,315-A,Gardnerella vaginalis,1,1A1
C7,0.191,Planktonic OD,6,A,315-A,Gardnerella vaginalis,1,1A1
D7,0.159,Planktonic OD,6,A,315-A,Gardnerella vaginalis,1,1A1
E7,0.164,Planktonic OD,6,B,315-A,Gardnerella vaginalis,1,1A1
F7,0.194,Planktonic OD,6,B,315-A,Gardnerella vaginalis,1,1A1
G7,0.215,Planktonic OD,6,B,315-A,Gardnerella vaginalis,1,1A1
H7,0.227,Planktonic OD,6,B,315-A,Gardnerella vaginalis,1,1A1
A8,0.242,Planktonic OD,7,A,JCP8017B,Gardnerella sp. 3,1,1A1
B8,0.227,Planktonic OD,7,A,JCP8017B,Gardnerella sp. 3,1,1A1
