well,OD,Measure,Number,BioRep,Strain,Species,Protocol,Batch
A2,0.195,Safranin Planktonic OD,1,A,C0011E4,Gardnerella vaginalis,1,1A1
B2,0.186,Safranin Planktonic OD,1,A,C0011E4,Gardnerella vaginalis,1,1A1
C2,0.18,Safranin Planktonic OD,1,A,C0011E4,Gardnerella vaginalis,1,1A1
D2,0.203,Safranin Planktonic OD,1,A,C0011E4,Gardnerella vaginalis,1,1A1
E2,0.196,Safranin Planktonic OD,1,B,C0011E4,Gardnerella vaginalis,1,1A1
F2,0.16,Safranin Planktonic OD,1,B,C0011E4,Gardnerella vaginalis,1,1A1
G2,0.158,Safranin Planktonic OD,1,B,C0011E4,Gardnerella vaginalis,1,1A1
H2,0.156,Safranin Planktonic OD,1,B,C0011E4,Gardnerella vaginalis,1,1A1
A3,0.07,Safranin Planktonic OD,2,A,UM224,Gardnerella swidsinskii,1,1A1
B3,0.075,Safranin Planktonic OD,2,A,UM224,Gardnerella swidsinskii,1,1A1
C3,0.062,Safranin Planktonic OD,2,A,UM224,Gardnerella swidsinskii,1,1A1
D3,0.068,Safranin Planktonic OD,2,A,UM224,Gardnerella swidsinskii,1,1A1
E3,0.063,Safranin Planktonic OD,2,B,UM224,Gardnerella swidsinskii,1,1A1
F3,0.089,Safranin Planktonic OD,2,B,UM224,Gardnerella swidsinskii,1,1A1
G3,0.067,Safranin Planktonic OD,2,B,UM224,Gardnerella swidsinskii,1,1A1
H3,0.097,Safranin Planktonic OD,2,B,UM224,Gardnerella swidsinskii,1,1A1
A4,0.171,Safranin Planktonic OD,3,A,14018,Gardnerella vaginalis,1,1A1
B4,0.173,Safranin Planktonic OD,3,A,14018,Gardnerella vaginalis,1,1A1
C4,0.161,Safranin Planktonic OD,3,A,14018,Gardnerella vaginalis,1,1A1
D4,0.135,Safranin Planktonic OD,3,A,14018,Gardnerella vaginalis,1,1A1
E4,0.126,Safranin Planktonic OD,3,B,14018,Gardnerella vaginalis,1,1A1
F4,0.144,Safranin Planktonic OD,3,B,14018,Gardnerella vaginalis,1,1A1
G4,0.133,Safranin Planktonic OD,3,B,14018,Gardnerella vaginalis,1,1A1
H4,0.137,Safranin Planktonic OD,3,B,14018,Gardnerella vaginalis,1,1A1
A5,0.106,Safranin Planktonic OD,4,A,C0102A2,Gardnerella swidsinskii,1,1A1
B5,0.102,Safranin Planktonic OD,4,A,C0102A2,Gardnerella swidsinskii,1,1A1
C5,0.117,Safranin Planktonic OD,4,A,C0102A2,Gardnerella swidsinskii,1,1A1
D5,0.116,Safranin Planktonic OD,4,A,C0102A2,Gardnerella swidsinskii,1,1A1
E5,0.08,Safranin Planktonic OD,4,B,C0102A2,Gardnerella swidsinskii,1,1A1
F5,0.063,Safranin Planktonic OD,4,B,C0102A2,Gardnerella swidsinskii,1,1A1
G5,0.102,Safranin Planktonic OD,4,B,C0102A2,Gardnerella swidsinskii,1,1A1
H5,0.073,Safranin Planktonic OD,4,B,C0102A2,Gardnerella swidsinskii,1,1A1
A6,0.066,Safranin Planktonic OD,5,A,C0100B2,Gardnerella sp. 10,1,1A1
B6,0.061,Safranin Planktonic OD,5,A,C0100B2,Gardnerella sp. 10,1,1A1
C6,0.094,Safranin Planktonic OD,5,A,C0100B2,Gardnerella sp. 10,1,1A1
D6,0.058,Safranin Planktonic OD,5,A,C0100B2,Gardnerella sp. 10,1,1A1
A7,0.225,Safranin Planktonic OD,6,A,315-A,Gardnerella vaginalis,1,1A1
B7,0.2,Safranin Planktonic OD,6,A,315-A,Gardnerella vaginalis,1,1A1
C7,0.196,Safranin Planktonic OD,6,A,315-A,Gardnerella vaginalis,1,1A1
D7,0.159,Safranin Planktonic OD,6,A,315-A,Gardnerella vaginalis,1,1A1
E7,0.167,Safranin Planktonic OD,6,B,315-A,Gardnerella vaginalis,1,1A1
F7,0.169,Safranin Planktonic OD,6,B,315-A,Gardnerella vaginalis,1,1A1
G7,0.123,Safranin Planktonic OD,6,B,315-A,Gardnerella vaginalis,1,1A1
H7,0.17,Safranin Planktonic OD,6,B,315-A,Gardnerella vaginalis,1,1A1
A8,0.262,Safranin Planktonic OD,7,A,JCP8017B,Gardnerella sp. 3,1,1A1
B8,0.229,Safranin Planktonic OD,7,A,JCP8017B,Gardnerella sp. 3,1,1A1
C8,0.214,Safranin Planktonic OD,7,A,JCP8017B,Gardnerella sp. 3,1,1A1
D8,0.209,Safranin Planktonic OD,7,A,JCP8017B,Gardnerella sp. 3,1,1A1
E8,0.189,Safranin Planktonic OD,7,B,JCP8017B,Gardnerella sp. 3,1,1A1
F8,0.179,Safranin Planktonic OD,7,B,JCP8017B,Gardnerella sp. 3,1,1A1
G8,0.26,Safranin Planktonic OD,7,B,JCP8017B,Gardnerella sp. 3,1,1A1
H8,0.252,Safranin Planktonic OD,7,B,JCP8017B,Gardnerella sp. 3,1,1A1
A9,0.072,Safranin Planktonic OD,8,A,JCP8066,Gardnerella piotii,1,1A1
B9,0.088,Safranin Planktonic OD,8,A,JCP8066,Gardnerella piotii,1,1A1
C9,0.082,Safranin Planktonic OD,8,A,JCP8066,Gardnerella piotii,1,1A1
D9,0.063,Safranin Planktonic OD,8,A,JCP8066,Gardnerella piotii,1,1A1
E9,0.067,Safranin Planktonic OD,8,B,JCP8066,Gardnerella piotii,1,1A1
F9,0.067,Safranin Planktonic OD,8,B,JCP8066,Gardnerella piotii,1,1A1
G9,0.06,Safranin Planktonic OD,8,B,JCP8066,Gardnerella piotii,1,1A1
H9,0.078,Safranin Planktonic OD,8,B,JCP8066,Gardnerella piotii,1,1A1
A12,0.041,Safranin Planktonic OD,Blank,NA,NA,NA,NA,1A1
B12,0.042,Safranin Planktonic OD,Blank,NA,NA,NA,NA,1A1
C12,0.078,Safranin Planktonic OD,Blank,NA,NA,NA,NA,1A1
D12,0.079,Safranin Planktonic OD,Blank,NA,NA,NA,NA,1A1
A3,0.341,Safranin Planktonic OD,10,A,AMD,Gardnerella leopoldii,2,2A1
B3,0.194,Safranin Planktonic OD,10,A,AMD,Gardnerella leopoldii,2,2A1
C3,0.178,Safranin Planktonic OD,10,A,AMD,Gardnerella leopoldii,2,2A1
D3,0.19,Safranin Planktonic OD,10,A,AMD,Gardnerella leopoldii,2,2A1
E3,0.145,Safranin Planktonic OD,10,B,AMD,Gardnerella leopoldii,2,2A1
F3,0.156,Safranin Planktonic OD,10,B,AMD,Gardnerella leopoldii,2,2A1
G3,0.166,Safranin Planktonic OD,10,B,AMD,Gardnerella leopoldii,2,2A1
H3,0.173,Safranin Planktonic OD,10,B,AMD,Gardnerella leopoldii,2,2A1
A4,0.037,Safranin Planktonic OD,11,A,C0096A1,Gardnerella leopoldii,2,2A1
B4,0.037,Safranin Planktonic OD,11,A,C0096A1,Gardnerella leopoldii,2,2A1
C4,0.037,Safranin Planktonic OD,11,A,C0096A1,Gardnerella leopoldii,2,2A1
D4,0.037,Safranin Planktonic OD,11,A,C0096A1,Gardnerella leopoldii,2,2A1
E4,0.037,Safranin Planktonic OD,11,B,C0096A1,Gardnerella leopoldii,2,2A1
F4,0.037,Safranin Planktonic OD,11,B,C0096A1,Gardnerella leopoldii,2,2A1
G4,0.037,Safranin Planktonic OD,11,B,C0096A1,Gardnerella leopoldii,2,2A1
H4,0.036,Safranin Planktonic OD,11,B,C0096A1,Gardnerella leopoldii,2,2A1
A12,0.041,Safranin Planktonic OD,Blank,NA,NA,NA,NA,2A1
B12,0.042,Safranin Planktonic OD,Blank,NA,NA,NA,NA,2A1
C12,0.042,Safranin Planktonic OD,Blank,NA,NA,NA,NA,2A1
D12,0.04,Safranin Planktonic OD,Blank,NA,NA,NA,NA,2A1
A2,0.132,Safranin Planktonic OD,1,A,C0011E4,Gardnerella vaginalis,1,1A2
B2,0.14,Safranin Planktonic OD,1,A,C0011E4,Gardnerella vaginalis,1,1A2
C2,0.124,Safranin Planktonic OD,1,A,C0011E4,Gardnerella vaginalis,1,1A2
D2,0.124,Safranin Planktonic OD,1,A,C0011E4,Gardnerella vaginalis,1,1A2
E2,0.115,Safranin Planktonic OD,1,B,C0011E4,Gardnerella vaginalis,1,1A2
F2,0.115,Safranin Planktonic OD,1,B,C0011E4,Gardnerella vaginalis,1,1A2
G2,0.109,Safranin Planktonic OD,1,B,C0011E4,Gardnerella vaginalis,1,1A2
H2,0.129,Safranin Planktonic OD,1,B,C0011E4,Gardnerella vaginalis,1,1A2
A3,0.063,Safranin Planktonic OD,2,A,UM224,Gardnerella swidsinskii,1,1A2
B3,0.068,Safranin Planktonic OD,2,A,UM224,Gardnerella swidsinskii,1,1A2
C3,0.072,Safranin Planktonic OD,2,A,UM224,Gardnerella swidsinskii,1,1A2
D3,0.074,Safranin Planktonic OD,2,A,UM224,Gardnerella swidsinskii,1,1A2
