well,Number,BioRep,Time,OD,Species,Strain,Batch
A2,1,A,0,0.095,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,0.5,0.096,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,1,0.1,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,1.5,0.102,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,2,0.105,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,2.5,0.108,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,3,0.112,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,3.5,0.114,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,4,0.114,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,4.5,0.114,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,5,0.115,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,5.5,0.116,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,6,0.117,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,6.5,0.118,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,7,0.118,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,7.5,0.119,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,8,0.119,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,8.5,0.12,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,9,0.12,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,9.5,0.123,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,10,0.122,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,10.5,0.127,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,11,0.125,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,11.5,0.132,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,12,0.136,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,12.5,0.143,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,13,0.151,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,13.5,0.167,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,14,0.184,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,14.5,0.204,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,15,0.221,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,15.5,0.243,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,16,0.254,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,16.5,0.255,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,17,0.259,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,17.5,0.261,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,18,0.264,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,18.5,0.264,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,19,0.271,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,19.5,0.27,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,20,0.275,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,20.5,0.275,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,21,0.279,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,21.5,0.28,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,22,0.282,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,22.5,0.286,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,23,0.289,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,23.5,0.291,Gardnerella sp. 10,C0100B2,1A1
A2,1,A,24,0.295,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,0,0.093,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,0.5,0.094,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,1,0.096,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,1.5,0.098,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,2,0.102,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,2.5,0.105,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,3,0.108,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,3.5,0.111,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,4,0.112,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,4.5,0.112,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,5,0.113,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,5.5,0.114,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,6,0.114,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,6.5,0.113,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,7,0.114,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,7.5,0.114,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,8,0.114,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,8.5,0.114,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,9,0.115,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,9.5,0.116,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,10,0.116,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,10.5,0.117,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,11,0.118,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,11.5,0.119,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,12,0.119,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,12.5,0.122,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,13,0.123,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,13.5,0.129,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,14,0.135,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,14.5,0.142,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,15,0.151,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,15.5,0.162,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,16,0.174,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,16.5,0.188,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,17,0.2,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,17.5,0.214,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,18,0.226,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,18.5,0.236,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,19,0.245,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,19.5,0.252,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,20,0.258,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,20.5,0.262,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,21,0.265,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,21.5,0.269,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,22,0.272,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,22.5,0.274,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,23,0.276,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,23.5,0.279,Gardnerella sp. 10,C0100B2,1A1
B2,1,A,24,0.279,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,0,0.095,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,0.5,0.094,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,1,0.096,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,1.5,0.098,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,2,0.102,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,2.5,0.105,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,3,0.108,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,3.5,0.11,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,4,0.113,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,4.5,0.112,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,5,0.113,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,5.5,0.113,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,6,0.114,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,6.5,0.114,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,7,0.115,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,7.5,0.114,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,8,0.115,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,8.5,0.114,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,9,0.116,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,9.5,0.115,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,10,0.116,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,10.5,0.116,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,11,0.117,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,11.5,0.118,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,12,0.117,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,12.5,0.119,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,13,0.119,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,13.5,0.12,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,14,0.12,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,14.5,0.121,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,15,0.122,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,15.5,0.122,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,16,0.123,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,16.5,0.124,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,17,0.126,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,17.5,0.129,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,18,0.132,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,18.5,0.139,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,19,0.143,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,19.5,0.152,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,20,0.165,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,20.5,0.167,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,21,0.173,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,21.5,0.186,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,22,0.188,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,22.5,0.198,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,23,0.205,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,23.5,0.206,Gardnerella sp. 10,C0100B2,1A1
C2,1,A,24,0.205,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,0,0.096,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,0.5,0.097,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,1,0.099,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,1.5,0.103,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,2,0.106,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,2.5,0.108,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,3,0.111,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,3.5,0.115,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,4,0.117,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,4.5,0.118,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,5,0.119,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,5.5,0.118,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,6,0.119,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,6.5,0.119,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,7,0.12,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,7.5,0.12,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,8,0.12,Gardnerella sp. 10,C0100B2,1A1
D2,1,A,8.5,0.121,Gardnerella sp. 10,C0100B2,1A1
