well,Number,BioRep,OD,Species,Strain,Batch,Step
A2,1,A,0.096,Gardnerella sp. 10,C0100B2,1A1,Overnight 1
B2,1,A,0.099,Gardnerella sp. 10,C0100B2,1A1,Overnight 1
C2,1,A,0.096,Gardnerella sp. 10,C0100B2,1A1,Overnight 1
D2,1,A,0.099,Gardnerella sp. 10,C0100B2,1A1,Overnight 1
E2,1,B,0.12,Gardnerella sp. 10,C0100B2,1A1,Overnight 1
F2,1,B,0.12,Gardnerella sp. 10,C0100B2,1A1,Overnight 1
G2,1,B,0.119,Gardnerella sp. 10,C0100B2,1A1,Overnight 1
H2,1,B,0.121,Gardnerella sp. 10,C0100B2,1A1,Overnight 1
A3,2,A,0.581,Gardnerella vaginalis,315-A,1A1,Overnight 1
B3,2,A,0.585,Gardnerella vaginalis,315-A,1A1,Overnight 1
C3,2,A,0.594,Gardnerella vaginalis,315-A,1A1,Overnight 1
D3,2,A,0.591,Gardnerella vaginalis,315-A,1A1,Overnight 1
E3,2,B,0.588,Gardnerella vaginalis,315-A,1A1,Overnight 1
F3,2,B,0.585,Gardnerella vaginalis,315-A,1A1,Overnight 1
G3,2,B,0.58,Gardnerella vaginalis,315-A,1A1,Overnight 1
H3,2,B,0.584,Gardnerella vaginalis,315-A,1A1,Overnight 1
A4,3,A,0.182,Gardnerella piotii,JCP8066,1A1,Overnight 1
B4,3,A,0.185,Gardnerella piotii,JCP8066,1A1,Overnight 1
C4,3,A,0.187,Gardnerella piotii,JCP8066,1A1,Overnight 1
D4,3,A,0.188,Gardnerella piotii,JCP8066,1A1,Overnight 1
E4,3,B,0.362,Gardnerella piotii,JCP8066,1A1,Overnight 1
F4,3,B,0.364,Gardnerella piotii,JCP8066,1A1,Overnight 1
G4,3,B,0.361,Gardnerella piotii,JCP8066,1A1,Overnight 1
H4,3,B,0.364,Gardnerella piotii,JCP8066,1A1,Overnight 1
A5,4,A,0.308,Gardnerella sp. 3,JCP8017B,1A1,Overnight 1
B5,4,A,0.307,Gardnerella sp. 3,JCP8017B,1A1,Overnight 1
C5,4,A,0.31,Gardnerella sp. 3,JCP8017B,1A1,Overnight 1
D5,4,A,0.309,Gardnerella sp. 3,JCP8017B,1A1,Overnight 1
E5,4,B,0.691,Gardnerella sp. 3,JCP8017B,1A1,Overnight 1
