Number,BioRep,OD,ODdate
1,20230708,0.1,20230709
2,20230708,0.13,20230709
3,20230708,0.01,20230709
4,20230708,0.14,20230709
5,20230708,0.03,20230709
6,20230708,0.07,20230709
7,20230708,0.12,20230709
8,20230708,0.4,20230709
9,20230708,0.19,20230709
10,20230708,0.32,20230709
11,20230708,0.39,20230709
12,20230708,0.33,20230709
13,20230708,0.03,20230709
14,20230708,0.06,20230709
15,20230708,0,20230709
16,20230708,0.03,20230709
17,20230708,0.16,20230709
18,20230708,0.06,20230709
3,20230708,0.01,20230710
5,20230708,0.04,20230710
6,20230708,0.19,20230710
13,20230708,0.23,20230710
14,20230708,0.2,20230710
15,20230708,0,20230710
16,20230708,0.14,20230710
18,20230708,0.21,20230710
19,20230708,0.15,20230710
20,20230708,0.25,20230710
21,20230708,0.07,20230710
22,20230708,0.14,20230710
1,20230711,0.02,20230712
2,20230711,0.13,20230712
3,20230711,0.25,20230712
4,20230711,0.35,20230712
5,20230711,0.38,20230712
6,20230711,0.04,20230712
7,20230711,0.14,20230712
8,20230711,0.2,20230712
9,20230711,0.45,20230712
10,20230711,0.33,20230712
11,20230711,0.25,20230712
12,20230711,0.34,20230712
13,20230711,0.17,20230712
14,20230711,0.05,20230712
15,20230711,0.01,20230712
16,20230711,0.07,20230712
17,20230711,0.1,20230712
18,20230711,0.11,20230712
1,20230711,0.06,20230713
6,20230711,0.05,20230713
14,20230711,0.37,20230713
15,20230711,0,20230713
16,20230711,0.14,20230713
19,20230711,0.06,20230713
20,20230711,0.09,20230713
21,20230711,1,20230713
22,20230711,0.2,20230713
1,20230716,0.09,20230717
2,20230716,0.36,20230717
3,20230716,0.02,20230717
4,20230716,0.03,20230717
5,20230716,0.49,20230717
6,20230716,0.1,20230717
7,20230716,0.1,20230717
1,20230716,0.34,20230718
3,20230716,0.05,20230718
4,20230716,0.05,20230718
6,20230716,0.07,20230718
8,20230716,0.05,20230718
9,20230716,0.12,20230718
1,20230806,0.01,20230807
2,20230806,0.11,20230807
3,20230806,0.15,20230807
1,20230806,0.02,20230808
4,20230806,0.07,20230808
5,20230806,0.06,20230808
4,20230806,0.18,20230810
5,20230806,0.13,20230810
1,20230809,0.01,20230810
2,20230809,0,20230810
3,20230809,0.14,20230810
4,20230809,0.18,20230810
5,20230809,0.07,20230810
6,20230809,0.09,20230810
1,20230809A,0.01,20230811
2,20230809B,-0.01,20230811
5,20230809A,0.11,20230811
6,20230809B,0.12,20230811
7,20230809A,0.19,20230811
8,20230809B,0.2,20230811
