well,Number,BioRep,OD,Species,Strain,Batch,Protocol,BatchN,Step
A2,1,A,0.425,Gardnerella vaginalis,C0011E4,1A1,1,1,Overnight 1
B2,1,A,0.425,Gardnerella vaginalis,C0011E4,1A1,1,1,Overnight 1
C2,1,A,0.43,Gardnerella vaginalis,C0011E4,1A1,1,1,Overnight 1
D2,1,A,0.43,Gardnerella vaginalis,C0011E4,1A1,1,1,Overnight 1
E2,1,B,0.361,Gardnerella vaginalis,C0011E4,1A1,1,1,Overnight 1
F2,1,B,0.352,Gardnerella vaginalis,C0011E4,1A1,1,1,Overnight 1
G2,1,B,0.353,Gardnerella vaginalis,C0011E4,1A1,1,1,Overnight 1
H2,1,B,0.352,Gardnerella vaginalis,C0011E4,1A1,1,1,Overnight 1
A3,2,A,0.528,Gardnerella sp. 3,C0040C2,1A1,1,1,Overnight 1
B3,2,A,0.556,Gardnerella sp. 3,C0040C2,1A1,1,1,Overnight 1
C3,2,A,0.55,Gardnerella sp. 3,C0040C2,1A1,1,1,Overnight 1
D3,2,A,0.545,Gardnerella sp. 3,C0040C2,1A1,1,1,Overnight 1
E3,2,B,0.494,Gardnerella sp. 3,C0040C2,1A1,1,1,Overnight 1
F3,2,B,0.511,Gardnerella sp. 3,C0040C2,1A1,1,1,Overnight 1
G3,2,B,0.516,Gardnerella sp. 3,C0040C2,1A1,1,1,Overnight 1
H3,2,B,0.515,Gardnerella sp. 3,C0040C2,1A1,1,1,Overnight 1
A4,3,A,0.286,Gardnerella vaginalis,14018,1A1,1,1,Overnight 1
B4,3,A,0.282,Gardnerella vaginalis,14018,1A1,1,1,Overnight 1
C4,3,A,0.286,Gardnerella vaginalis,14018,1A1,1,1,Overnight 1
D4,3,A,0.291,Gardnerella vaginalis,14018,1A1,1,1,Overnight 1
E4,3,B,0.308,Gardnerella vaginalis,14018,1A1,1,1,Overnight 1
F4,3,B,0.311,Gardnerella vaginalis,14018,1A1,1,1,Overnight 1
G4,3,B,0.32,Gardnerella vaginalis,14018,1A1,1,1,Overnight 1
H4,3,B,0.311,Gardnerella vaginalis,14018,1A1,1,1,Overnight 1
A5,4,A,0.477,Gardnerella sp. 8,C0056B5,1A1,1,1,Overnight 1
B5,4,A,0.512,Gardnerella sp. 8,C0056B5,1A1,1,1,Overnight 1
C5,4,A,0.453,Gardnerella sp. 8,C0056B5,1A1,1,1,Overnight 1
D5,4,A,0.425,Gardnerella sp. 8,C0056B5,1A1,1,1,Overnight 1
E5,4,B,0.51,Gardnerella sp. 8,C0056B5,1A1,1,1,Overnight 1
F5,4,B,0.538,Gardnerella sp. 8,C0056B5,1A1,1,1,Overnight 1
G5,4,B,0.516,Gardnerella sp. 8,C0056B5,1A1,1,1,Overnight 1
H5,4,B,0.484,Gardnerella sp. 8,C0056B5,1A1,1,1,Overnight 1
A6,5,A,0.136,Gardnerella swidsinskii,Gv5-1,1A1,1,1,Overnight 1
B6,5,A,0.138,Gardnerella swidsinskii,Gv5-1,1A1,1,1,Overnight 1
C6,5,A,0.124,Gardnerella swidsinskii,Gv5-1,1A1,1,1,Overnight 1
D6,5,A,0.124,Gardnerella swidsinskii,Gv5-1,1A1,1,1,Overnight 1
E6,5,B,0.192,Gardnerella swidsinskii,Gv5-1,1A1,1,1,Overnight 1
F6,5,B,0.192,Gardnerella swidsinskii,Gv5-1,1A1,1,1,Overnight 1
G6,5,B,0.213,Gardnerella swidsinskii,Gv5-1,1A1,1,1,Overnight 1
H6,5,B,0.193,Gardnerella swidsinskii,Gv5-1,1A1,1,1,Overnight 1
A7,6,A,0.216,Gardnerella vaginalis,315-A,1A1,1,1,Overnight 1
B7,6,A,0.224,Gardnerella vaginalis,315-A,1A1,1,1,Overnight 1
C7,6,A,0.227,Gardnerella vaginalis,315-A,1A1,1,1,Overnight 1
D7,6,A,0.231,Gardnerella vaginalis,315-A,1A1,1,1,Overnight 1
E7,6,B,0.216,Gardnerella vaginalis,315-A,1A1,1,1,Overnight 1
F7,6,B,0.218,Gardnerella vaginalis,315-A,1A1,1,1,Overnight 1
G7,6,B,0.219,Gardnerella vaginalis,315-A,1A1,1,1,Overnight 1
H7,6,B,0.217,Gardnerella vaginalis,315-A,1A1,1,1,Overnight 1
A8,7,A,0.174,Gardnerella piotii,JCP8066,1A1,1,1,Overnight 1
B8,7,A,0.149,Gardnerella piotii,JCP8066,1A1,1,1,Overnight 1
C8,7,A,0.147,Gardnerella piotii,JCP8066,1A1,1,1,Overnight 1
D8,7,A,0.148,Gardnerella piotii,JCP8066,1A1,1,1,Overnight 1
E8,7,B,0.198,Gardnerella piotii,JCP8066,1A1,1,1,Overnight 1
F8,7,B,0.196,Gardnerella piotii,JCP8066,1A1,1,1,Overnight 1
G8,7,B,0.198,Gardnerella piotii,JCP8066,1A1,1,1,Overnight 1
H8,7,B,0.2,Gardnerella piotii,JCP8066,1A1,1,1,Overnight 1
A9,8,A,0.243,Gardnerella sp. 8,Gv101,1A1,1,1,Overnight 1
B9,8,A,0.237,Gardnerella sp. 8,Gv101,1A1,1,1,Overnight 1
C9,8,A,0.238,Gardnerella sp. 8,Gv101,1A1,1,1,Overnight 1
D9,8,A,0.24,Gardnerella sp. 8,Gv101,1A1,1,1,Overnight 1
E9,8,B,0.362,Gardnerella sp. 8,Gv101,1A1,1,1,Overnight 1
F9,8,B,0.366,Gardnerella sp. 8,Gv101,1A1,1,1,Overnight 1
G9,8,B,0.365,Gardnerella sp. 8,Gv101,1A1,1,1,Overnight 1
H9,8,B,0.365,Gardnerella sp. 8,Gv101,1A1,1,1,Overnight 1
A12,Blank,NA,0.051,NA,NA,NA,NA,NA,Overnight 1
B12,Blank,NA,0.051,NA,NA,NA,NA,NA,Overnight 1
C12,Blank,NA,0.052,NA,NA,NA,NA,NA,Overnight 1
D12,Blank,NA,0.051,NA,NA,NA,NA,NA,Overnight 1
A2,1,A,0.467,Gardnerella vaginalis,C0011E4,1A2,1,2,Overnight 1
B2,1,A,0.444,Gardnerella vaginalis,C0011E4,1A2,1,2,Overnight 1
C2,1,A,0.46,Gardnerella vaginalis,C0011E4,1A2,1,2,Overnight 1
D2,1,A,0.469,Gardnerella vaginalis,C0011E4,1A2,1,2,Overnight 1
E2,1,B,0.308,Gardnerella vaginalis,C0011E4,1A2,1,2,Overnight 1
F2,1,B,0.307,Gardnerella vaginalis,C0011E4,1A2,1,2,Overnight 1
G2,1,B,0.306,Gardnerella vaginalis,C0011E4,1A2,1,2,Overnight 1
H2,1,B,0.311,Gardnerella vaginalis,C0011E4,1A2,1,2,Overnight 1
A3,2,A,0.606,Gardnerella sp. 3,C0040C2,1A2,1,2,Overnight 1
B3,2,A,0.622,Gardnerella sp. 3,C0040C2,1A2,1,2,Overnight 1
C3,2,A,0.615,Gardnerella sp. 3,C0040C2,1A2,1,2,Overnight 1
D3,2,A,0.795,Gardnerella sp. 3,C0040C2,1A2,1,2,Overnight 1
E3,2,B,0.652,Gardnerella sp. 3,C0040C2,1A2,1,2,Overnight 1
F3,2,B,0.666,Gardnerella sp. 3,C0040C2,1A2,1,2,Overnight 1
G3,2,B,0.667,Gardnerella sp. 3,C0040C2,1A2,1,2,Overnight 1
H3,2,B,0.669,Gardnerella sp. 3,C0040C2,1A2,1,2,Overnight 1
A4,3,A,0.76,Gardnerella vaginalis,14018,1A2,1,2,Overnight 1
B4,3,A,0.768,Gardnerella vaginalis,14018,1A2,1,2,Overnight 1
C4,3,A,0.757,Gardnerella vaginalis,14018,1A2,1,2,Overnight 1
D4,3,A,0.771,Gardnerella vaginalis,14018,1A2,1,2,Overnight 1
E4,3,B,0.82,Gardnerella vaginalis,14018,1A2,1,2,Overnight 1
F4,3,B,0.823,Gardnerella vaginalis,14018,1A2,1,2,Overnight 1
G4,3,B,0.82,Gardnerella vaginalis,14018,1A2,1,2,Overnight 1
H4,3,B,0.829,Gardnerella vaginalis,14018,1A2,1,2,Overnight 1
A5,4,A,0.6,Gardnerella sp. 8,C0056B5,1A2,1,2,Overnight 1
B5,4,A,0.606,Gardnerella sp. 8,C0056B5,1A2,1,2,Overnight 1
C5,4,A,0.608,Gardnerella sp. 8,C0056B5,1A2,1,2,Overnight 1
D5,4,A,0.601,Gardnerella sp. 8,C0056B5,1A2,1,2,Overnight 1
E5,4,B,0.54,Gardnerella sp. 8,C0056B5,1A2,1,2,Overnight 1
F5,4,B,0.542,Gardnerella sp. 8,C0056B5,1A2,1,2,Overnight 1
G5,4,B,0.529,Gardnerella sp. 8,C0056B5,1A2,1,2,Overnight 1
H5,4,B,0.548,Gardnerella sp. 8,C0056B5,1A2,1,2,Overnight 1
A6,5,A,0.06,Gardnerella swidsinskii,Gv5-1,1A2,1,2,Overnight 1
B6,5,A,0.061,Gardnerella swidsinskii,Gv5-1,1A2,1,2,Overnight 1
C6,5,A,0.058,Gardnerella swidsinskii,Gv5-1,1A2,1,2,Overnight 1
D6,5,A,0.056,Gardnerella swidsinskii,Gv5-1,1A2,1,2,Overnight 1
E6,5,B,0.582,Gardnerella swidsinskii,Gv5-1,1A2,1,2,Overnight 1
F6,5,B,0.581,Gardnerella swidsinskii,Gv5-1,1A2,1,2,Overnight 1
G6,5,B,0.582,Gardnerella swidsinskii,Gv5-1,1A2,1,2,Overnight 1
H6,5,B,0.581,Gardnerella swidsinskii,Gv5-1,1A2,1,2,Overnight 1
A7,6,A,0.523,Gardnerella vaginalis,315-A,1A2,1,2,Overnight 1
B7,6,A,0.523,Gardnerella vaginalis,315-A,1A2,1,2,Overnight 1
C7,6,A,0.527,Gardnerella vaginalis,315-A,1A2,1,2,Overnight 1
D7,6,A,0.532,Gardnerella vaginalis,315-A,1A2,1,2,Overnight 1
E7,6,B,0.547,Gardnerella vaginalis,315-A,1A2,1,2,Overnight 1
F7,6,B,0.544,Gardnerella vaginalis,315-A,1A2,1,2,Overnight 1
G7,6,B,0.542,Gardnerella vaginalis,315-A,1A2,1,2,Overnight 1
H7,6,B,0.546,Gardnerella vaginalis,315-A,1A2,1,2,Overnight 1
A8,7,A,0.425,Gardnerella piotii,JCP8066,1A2,1,2,Overnight 1
B8,7,A,0.427,Gardnerella piotii,JCP8066,1A2,1,2,Overnight 1
