well,Row,Column,BioRep,pH,Batch,Plate,Number,Species,Strain,Protocol,BatchN,OD
A1,A,1,A,3.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.064
B1,B,1,A,3.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.0628
C1,C,1,A,3.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.063
D1,D,1,B,3.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.0644
E1,E,1,B,3.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.0647
F1,F,1,B,3.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.0652
G1,G,1,Blank,3.5,1A1,0102,Blank,NA,NA,NA,NA,0.0558
H1,H,1,A,7,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,1.0085
A2,A,2,A,4,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.0705
B2,B,2,A,4,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.0709
C2,C,2,A,4,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.0704
D2,D,2,B,4,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.0704
E2,E,2,B,4,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.0712
F2,F,2,B,4,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.0705
G2,G,2,Blank,4,1A1,0102,Blank,NA,NA,NA,NA,0.0623
H2,H,2,A,7,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.9475
A3,A,3,A,4.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.1193
B3,B,3,A,4.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.1472
C3,C,3,A,4.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.1444
D3,D,3,B,4.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.1232
E3,E,3,B,4.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.1183
F3,F,3,B,4.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.1274
G3,G,3,Blank,4.5,1A1,0102,Blank,NA,NA,NA,NA,0.0971
H3,H,3,A,7,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.9531
A4,A,4,A,5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.2729
B4,B,4,A,5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.2683
C4,C,4,A,5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.264
D4,D,4,B,5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.2649
E4,E,4,B,5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.2778
F4,F,4,B,5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.2827
G4,G,4,Blank,5,1A1,0102,Blank,NA,NA,NA,NA,0.0731
H4,H,4,B,7,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,1.032
A5,A,5,A,5.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.3141
B5,B,5,A,5.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.3021
C5,C,5,A,5.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.328
D5,D,5,B,5.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.3331
E5,E,5,B,5.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.3398
F5,F,5,B,5.5,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.3478
G5,G,5,Blank,5.5,1A1,0102,Blank,NA,NA,NA,NA,0.0522
H5,H,5,B,7,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,1.0294
A6,A,6,A,6,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.3426
B6,B,6,A,6,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.3782
C6,C,6,A,6,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.3964
D6,D,6,B,6,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.4067
E6,E,6,B,6,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.4051
F6,F,6,B,6,1A1,0102,1,Gardnerella vaginalis,C0011E4,1,1,0.3832
G6,G,6,Blank,6,1A1,0102,Blank,NA,NA,NA,NA,0.0506
H6,H,6,Blank,7,1A1,0102,Blank,NA,NA,NA,NA,0.0542
