"strain","species_name","clade","genomospecies","ncsu_sequence","ravel_sequence","genbank_accession","source"
"C0011E4","Gardnerella vaginalis","C1","GS1","","*","","Ravel Lab, University of Maryland"
"C0084H9","Gardnerella lacydonensis","C1","GS2","","*","","Ravel Lab, Univerisity of Maryland"
"C0040C2","Gardnerella pickettii","C2","GS3","","*","","Ravel Lab, Univerisity of Maryland"
"C0093B3","Gardnerella piotii","C2","GS4","","*","","Ravel Lab, Univerisity of Maryland"
"C0096A1","Gardnerella leopoldii","C4","GS5","","*","","Ravel Lab, Univerisity of Maryland"
"C0102A2","Gardnerella swidsinskii","C4","GS6","","*","","Ravel Lab, Univerisity of Maryland"
"C0179B4","Gardnerella sp. 7","C2","GS7","","*","","Ravel Lab, Univerisity of Maryland"
"C0056B5","Gardnerella greenwoodii","C3","GS8","","*","","Ravel Lab, Univerisity of Maryland"
"C0100B2","Gardnerella sp. 10","C3","GS10","","*","","Ravel Lab, Univerisity of Maryland"
"C0101A1","Gardnerella sp. 11","C3","GS11","","*","","Ravel Lab, Univerisity of Maryland"
"14018","Gardnerella vaginalis","C1","GS1","","","GCA_000178355.1","Jefferson Lab, Virginia Commonwealth University"
"UM35","Gardnerella piotii","C2","GS4","*","","","Jefferson Lab, Virginia Commonwealth University"
"Gv101","Gardnerella greenwoodii","C3","GS8","","","GCA_000165615.2","Jefferson Lab, Virginia Commonwealth University"
"AMD","Gardnerella leopoldii","C4","GS5","","","GCA_000176475.1","Jefferson Lab, Virginia Commonwealth University"
"Gv5-1","Gardnerella swidsinskii","C4","GS6","","","GCA_000176495.1","Jefferson Lab, Virginia Commonwealth University"
"UM224","Gardnerella swidsinskii","C4","GS6","*","","","Jefferson Lab, Virginia Commonwealth University"
"315-A","Gardnerella vaginalis","C1","GS1","","","GCA_000214315.2","BEI Resources #HM-133"
"JCP7275","Gardnerella lacydonensis","C1","GS2","","","GCA_000414705.1","BEI Resources #HM-1105"
"JCP8108","Gardnerella lacydonensis","C1","GS2","","","GCA_000414525.1","BEI Resources #HM-1114"
"JCP8017B","Gardnerella pickettii","C2","GS3","","","GCA_000414585.1","BEI Resources #HM-1111"
"JCP8066","Gardnerella piotii","C2","GS4","","","GCA_000414565.1","BEI Resources #HM-1112"
"CMW7778B","Gardnerella sp. 12","C5","GS12","","","GCA_001563665.1","BEI Resources #HM-1298"
